xactid;op
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;8
0000146A000E;21
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;8
0000146A000E;21
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;8
0000146A000E;21
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;8
0000146A000E;21
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;8
0000146A000E;21
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;8
0000146A000E;21
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;8
0000146A000E;21
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;8
0000146A000E;21
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;8
0000146A000E;21
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;8
0000146A000E;21
0000146A000E;8
0000146A000E;5
0000146A000E;30
000014880008;0
000014880008;14
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;13
000014880008;4
000014880008;7
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;13
000014880008;4
000014880008;7
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;13
000014880008;4
000014880008;7
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;13
000014880008;4
000014880008;7
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;13
000014880008;4
000014880008;7
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;13
000014880008;4
000014880008;7
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;13
000014880008;4
000014880008;7
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;13
000014880008;4
000014880008;7
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;13
000014880008;4
000014880008;7
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;13
000014880008;4
000014880008;7
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;13
000014880008;4
000014880008;7
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;13
000014880008;4
000014880008;7
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;13
000014880008;4
000014880008;7
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;13
000014880008;4
000014880008;7
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;13
000014880008;4
000014880008;7
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;13
000014880008;4
000014880008;7
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;13
000014880008;4
000014880008;7
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;13
000014880008;4
000014880008;7
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;13
000014880008;4
000014880008;7
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;4
000014880008;7
000014880008;30
000014A30005;0
000014A30005;9
000014A30005;30
000014A30008;0
000014A30008;65
000014A30008;65
000014A30008;30
000014A3000C;0
000014A3000C;65
000014A3000C;65
000014A3000C;65
000014A3000C;30
000014A40003;0
000014A40003;65
000014A40003;30
000014A40006;0
000014A40006;9
000014A40006;30
000014A40009;0
000014A40009;9
000014A40009;30
000014A4000C;0
000014A4000C;9
000014A4000C;30
000014A4000F;0
000014A4000F;77
000014A4000F;77
000014A4000F;77
000014A4000F;77
000014A4000F;12
000014A4000F;12
000014A4000F;12
000014A4000F;5
000014A4000F;5
